"Выручка"	"Прибыль"	"Реализация"	"Списание"	"sd"	"Продажи макс"	"День"	"Продажи мин"	" День"	"Списание макс"	"  День"
"Магазин 1"	3667680	1305828	283	83	5.71130874835599	"51"	"5"	"33"	"6"	"20"	"6"
"Магазин 2"	3667680	1305828	283	83	5.71130874835599	"51"	"5"	"33"	"6"	"20"	"6"
"Магазин 3"	3667680	1305828	283	83	5.71130874835599	"51"	"5"	"33"	"6"	"20"	"6"
"Магазин 4"	3667680	1305828	283	83	5.71130874835599	"51"	"5"	"33"	"6"	"20"	"6"
"Магазин 5"	3667680	1305828	283	83	5.71130874835599	"51"	"5"	"33"	"6"	"20"	"6"
"Магазин 6"	3667680	1305828	283	83	5.71130874835599	"51"	"5"	"33"	"6"	"20"	"6"
"Магазин 7"	3667680	1305828	283	83	5.71130874835599	"51"	"5"	"33"	"6"	"20"	"6"
"Магазин 8"	3667680	1305828	283	83	5.71130874835599	"51"	"5"	"33"	"6"	"20"	"6"
"Магазин 9"	3667680	1305828	283	83	5.71130874835599	"51"	"5"	"33"	"6"	"20"	"6"
"Магазин 10"	3667680	1305828	283	83	5.71130874835599	"51"	"5"	"33"	"6"	"20"	"6"
"Итого"	27422388	13058280	2830	830	57.1130874835599	""	""	""	""	""	""
"Среднее"	2742238.8	1305828	283	83	5.71130874835599	""	""	""	""	""	""
